Title,Link,Teaser,ProjectLink,Status,License,Abstract,Y-Type,Y-Topic-cnx,Skills,MoreInfo,Y-EducPurpose,X-Language,X-Partner-by
Wikiversity,https://openedu.ch/en/2/wikiversity,More than 100.000 educational resources,https://en.wikiversity.org/,,CC by SA,"Wikiversity is a project devoted to learning resources, learning projects, and research items for all levels, types, and styles of education: from preschool to university, including professional training and informal learning. We invite teachers, students, and researchers to join us in creating open educational resources and collaborative learning communities.",Platform,,"1 Literacy,2 Multilingual,""3 Mathematical, science, technology, engineering"",4 Digital,""5 Personal, social, learning to learn""","Wikiversity is a Wikimedia Foundation project that supports learning communities, their learning materials, and resulting activities. It differs from Wikipedia in that it offers tutorials and other materials for the fostering of learning, rather than an encyclopedia; but like Wikipedia it is available in many languages. The launch of Wikiversity was announced at Wikimania 2006 as an idea to: host learning communities, so people who are actually trying to learn, actually have a place to come and interact and help each other figure out how to learn things.
A Guide to Wikiversity Content This page offers a reasonably comprehensive guide to categorized Wikiversity content. The lists here are mainly generated dynamically (automatically) and provide multiple alternative navigation pathways. It is also possible to browse Wikiversity resources by name (alphabetical listing).
You will find content by:
By School
By Resource Type
By Learning Project
By Educational Level
By Participation",,"English,German,French,Italian,Other languages",Wikimedia Community
Wiktionary,https://openedu.ch/en/17/wiktionary,174 languages - 32.947.559 articles,https://www.wiktionary.org/,,CC by SA,"Wiktionary is a collaborative project to produce a free-content multilingual dictionary of terms – including words, phrases, proverbs – in 174 languages. These entries may contain definitions, pronunciation guides, inflections, usage examples, related terms, images for illustration, among other features.

",Platform,,"1 Literacy,2 Multilingual,4 Digital",,,"English,German,French,Italian,Spanish,Other languages",Wikimedia Foundation
WMCH Map Service,https://openedu.ch/en/8/wmch-map-service,"Explore cultural locations, check article coverage and contribute",https://map.wikimedia.swiss/,,CC by SA,The web site allows you to locate Swiss cultural institutions and get information. The map is generated by extracting the geographical coordinates from Wikidata and connecting the information from Wikipedia.,"Tool,Platform",,"2 Multilingual,6 Citizenship,7 Entrepreneurship,8 Cultural awareness and expression","The interactive geographic map is an additional incentive for the user who can immediately identify the missing items on Wikipedia and provide new contributions to enrich free knowledge.
You will find several interactive maps to explore as:
- Swiss Museums 
- Swiss Archives
- Archives CH-AT-DE
- Museums CH-DE-AT
- Museums CH-DE-AT-IT-FR
- Swiss railway stations
- Swiss castles
- Roman thermal baths
- Libraries CH-LI-DE-AT
 ",,"English,German,French,Italian",Wikimedia CH
How to Run an Editathon,https://openedu.ch/en/12/how-to-run-an-editathon,A guide for how (and why) to run a Wikipedia Editathon,https://en.wikipedia.org/wiki/Wikipedia:How_to_run_an_edit-a-thon,,CC by SA,"You will find many details on how to run an Editathon as: What you should have beforehand. Ways to advertise an editathon. What to do during and afterwards.

",Training,,"1 Literacy,4 Digital,""5 Personal, social, learning to learn"",8 Cultural awareness and expression","An editathon can be: a scheduled time where people edit Wikipedia together, whether offline, online, or a mix of both; typically focused on a specific topic, such as science or women's history; a way to give newcomers an insight into how Wikipedia works. 
Editathons improve the encyclopedia and can be a great way to help new Wikipedians learn to edit. This is quite different from large conferences such as Wikimania, which often have multiple speakers or panels about a huge variety of topics. An editathon is also unlike a regular meetup, which tends to be without a single goal and/or for socializing. 
We recommend this guide for how (and why) to run a Wikipedia editathon: you will find many details as: 
- Why run an editathon?
- What you should have beforehand
- Ways to advertise an editathon
- During an editathon
- What to do afterwards
 ",,"English,French,Italian",
Wikibooks,https://openedu.ch/en/16/wikibooks,98 languages - 270.000 pages,https://www.wikibooks.org/,,CC by SA,"Wikibooks is for textbooks, annotated texts, instructional guides, and manuals. These materials can be used in a traditional classroom, an accredited institution, a home-school environment, as part of a Wikiversity course, or for self-learning. Every book is generated, edited, proofed, and read by all the thousands of volunteers contributors, fans, and scholars.",Platform,,"1 Literacy,2 Multilingual,""3 Mathematical, science, technology, engineering"",4 Digital",,,"English,German,French,Italian,Spanish,Other languages",Wikimedia Community
Editathon,https://openedu.ch/en/13/editathon,Editing Contribution Marathons on Wikipedia,https://it.wikipedia.org/wiki/Editathon,,CC by SA,"An editathon or contribution marathon is an event during which contributors create, edit and improve articles on a certain theme, subject or specific type of content in order to contribute to projects such as Wikipedia or OpenStreetMap. New contributors usually receive basic training to collaborate on such projects.",Event,,"1 Literacy,4 Digital,""5 Personal, social, learning to learn"",8 Cultural awareness and expression","Wikipedia editathons take place in accredited educational institutions; scientific research institutions and cultural institutions, such as museums or archives.
 
Why join an edit-a-thon?
It helps build the encyclopedia
It provides access to topic experts, and to offline source materials
It builds relationships in the community
It encourages editors to learn from each other, and by doing
It entices people to become new Wikipedians
It helps new Wikipedians to contribute
It's fun!
(Source: https://en.wikipedia.org/wiki/Wikipedia:How_to_run_an_edit-a-thon)
 
Wikipedia editathon takes place in accredited educational institutions; scientific research institutions and cultural institutions, such as museums or archives.",,"English,German,French,Italian,Other languages",Wikimedia Community
Wiki Loves Monuments,https://openedu.ch/en/18/wiki-loves-monuments,Cultural heritage monuments photographic competition,https://www.wikilovesmonuments.org/,,CC by SA,"Wiki Loves Monuments is organised worldwide by Wikipedia community members with the help of national Wikimedia affiliates across the globe. The aim of the contest is to ask the general public - readers and users of Wikipedia, photographers, hobbyists - to take pictures of cultural heritage monuments and upload them to Wikimedia Commons for use on Wikipedia and other Wikimedia projects.",Event,,"1 Literacy,4 Digital,6 Citizenship,8 Cultural awareness and expression",,,"English,German,French,Italian,Spanish,Other languages",Wikimedia Community
Hackathon,https://openedu.ch/en/19/hackathon,Programmers Contribution Marathons,https://de.wikipedia.org/wiki/Hackathon,,CC by SA,"A hackathon is an event in which computer programmers, graphic designers, interface designers, project managers, and others domain experts collaborate intensively on programming projects. The goal of a hackathon is to create functioning software or hardware by the end of the event, which can last from several hours to several days. Participants suggest ideas and form teams, based on individual interests and skills.

",Event,,"""3 Mathematical, science, technology, engineering"",4 Digital,""5 Personal, social, learning to learn"",7 Entrepreneurship","Hackathons tend to have a specific focus, which can include the programming language used, the operating system, or an application. Participants suggest ideas and form teams, based on individual interests and skills.
",,"English,German,French,Italian,Spanish,Other languages",Wikimedia Community
Wikipedia as a Tool for University Teaching,https://openedu.ch/en/20/wikipedia-as-a-tool-for-university-teaching,An alternative way of teaching,,,CC by SA,"In the academic world, the use of Wikipedia is still considered a taboo; however, the impact of the online encyclopaedia, even on academia, cannot be neglected.",Training,,"1 Literacy,4 Digital","This ambivalence provided the starting point for a university teaching project conducted at the Department for the Study of Religions at the University of Zurich. The aim of the course was that the students should actively experience the mechanisms of Wikipedia rather than only discuss advantages and disadvantages on a theoretical level. Aiming to use Wikipedia as a didactic tool and platform, the focal point was that the students should actually write Wikipedia articles, change existing articles, and engage with their fellow students as well as the wider Wikipedia community. ",,"English,German,French,Italian",Wikimedia CH
WIKIDDHH,https://openedu.ch/en/21/wikiddhh,Wikimedia project about human rights,,,CC by SA,"Since 2016 Wikimedia Argentina has been carrying out the Wiki Human Rights project, which aims to edit content on Wikipedia and Wikimedia projects in order to build memory in digital territories.

",Project,,8 Cultural awareness and expression,"In its beginnings, the project started thinking locally, which is why it was named Wiki Lesa - taking up the notion of Lesa Humanidad - proposing the edition, updating and creation of content in the Spanish Wikipedia on the process of reopening the trials for crimes against humanity occurred during the last civil-military dictatorship in Argentina of the 70' and the 80'. This justice process has taken place in Argentina since 2005. From this experience Wikipedia became a digital territory from which it was proposed to think about the present by building memory (haciendo memoria). The project was carried out in coordination with civil society organizations, human rights defenders, journalists, researchers, human rights organizations and survivors. 
In 2018, the project was extended to implement it at a regional level, which is why its name was changed to Wiki Human Rights, and the experience was tooked to 7 countries in the region: Chile, Uruguay, Mexico, Venezuela, Colombia, Paraguay and Argentina. In each of these experiences we considered it important to articulate and place the training spaces in the Wikipedia editing process together with the local communities of Wikimedians, institutions and civil society organizations specialized in the subject.",,"English,German,French,Italian",
Wikicamp Armenia,https://openedu.ch/en/22/wikicamp-armenia,WikiCamp for young Wikimedians,,,CC by SA,Young Wikimedians within the age 14-20 gather together to write and contribute on Wikimedia projects.,Project,,"1 Literacy,4 Digital,""5 Personal, social, learning to learn""",,,"English,German,French,Italian",Wikimedia Foundation
Reading Wikipedia in the Classroom,https://openedu.ch/en/23/reading-wikipedia-in-the-classroom,Bringing Wikipedia into the schools,,,CC by SA,"Last year, the Education team at the Wikimedia Foundation launched the Reading Wikipedia in the Classroom pilot in 3 pilot countries: Bolivia, Morocco, and the Philippines. They worked with local coordinators from the Wikimedia affiliates in each country to provide an online professional development opportunity to close to 1000 secondary school teachers with a localized curriculum that aligns Wikipedia with UNESCO’s Media and Information Literacy framework.

",Project,,"1 Literacy,4 Digital","This project will connect teachers to the communities and practices behind Wikipedia.
It will help both educators and students develop vital information literacy skills for the 21st century: understanding how information is produced, how to evaluate the integrity of knowledge, and how to understand biases and knowledge gaps in the information they consume.
To achieve the project's objectives, schools will benefit from:
- Localized materials for teachers on how to use Wikipedia and develop critical reading skills.
- Teacher development training for selected teachers in the use of the kit.
- Ongoing support from local coordinators for teachers implementing these resources and practices in their classrooms.
- Professional development recognition for participating teachers and schools.
- Integration into Wikipedia's international network of education leaders.
For more information look at the following website:
https://outreach.wikimedia.org/wiki/Education/About/Education_Team/Reading_Wikipedia_in_the_Classroom/es
https://www.youtube.com/watch?v=MmSAsvf6j7w",,"English,German,French,Italian",Wikimedia Foundation
University Law Student's Editing,https://openedu.ch/en/25/university-law-students-editing,Law students edit Wikipedia,,to improve/delete,CC by SA,Law students edit Wikipedia articles.,Project,,"1 Literacy,4 Digital","Students work in groups to prepare Wikipedia articles, or parts of articles, about constitutional and administrative law in Singapore.The aims of the project are to encourage students to internalize the material covered in the course; and to contribute towards producing a body of accurate information about Singapore constitutional and administrative law that is freely available on the Internet.",,"English,German,French,Italian",
Wikipedia in Medicine,https://openedu.ch/en/26/wikipedia-in-medicine,Medicine students edit Wikipedia,,to improve/delete,CC by SA,Involve students to improve and create Wikipedia articles on medicine.,Training,,"1 Literacy,4 Digital","The project started in 2011 with the School of Medicine in the Aristotle University of Thessaloniki in the context of the elective course Medical Education. 
Every year Konstantinos Stampoulis was giving a lecture on Wikipedia and medicinal content in Wikipedia.
The students were given the assignment to create or translate from english (the most usual choice) an article in Greek Wikipedia. 
The managers of the project had a precompiled list of articles from english wikipedia, sorted by quality, importance, length and difficulty. 
The students were encouraged to create small teams of 2-4, choose an article and each student translate some part of the article and correct parts translated by the rest. In this way the managers of the project managed to make them understand the collaborative nature of Wikipedia and also create much better articles than what they would have if they had asked one article per student. The students had some online assistance from ""wiki ambassadors"" (experienced users who volunteered) but most of them did not need much of it. Results were graded by examining the onwiki contributions of each individual student/user (not per team).
",,"English,German,French,Italian",
Wikipedia in Your University,https://openedu.ch/en/27/wikipedia-in-your-university,Training sessions at university.,,to improve/delete,CC by SA,"This project develops 3 training sessions (3 days of work) for university students and professors. It offers an intensive session about Wikimedia and its projects, later detail about the edition of content in Wikipedia. Particular interest: creation of projects that can support the research done by the classes that get involved with our program. Aim: encouraging professors and students to use the Wikipedia platform as another space to consolidate debates and content within the academic world.",Training,,"1 Literacy,4 Digital","How is it organized?
1. Initial space for exchange with the chairs and research teams.
2. We get to know the work of each team and the contents/topics they study/research.
3. We think together how to implement the project in the specific subject and we define the work times.
4. Research work and elaboration of the content to be added.
5. Each team of teachers and students researches Wikipedia analyzing which articles exist and which are missing on the topic they want to work on. They select the articles to create or improve and work on the search for reliable sources to build the contents.
6. From the Education and Human Rights Program, the process of article selection is monitored and various tutorials are provided to the chairs to begin to learn about the editing tools.
7. 3. Final editing workshop
8. In a final meeting with all participants, we held a workshop where we worked on Wikipedia, its operation, the principles of Free Culture and editing tools.
9. Finally, each group uploads the elaborated contents to the encyclopedia.
For more information look at the following websites:
https://wikimedia.org.ar/wikipediaenlauniversidad/
https://revistas.ucu.edu.uy/index.php/paginasdeeducacion/article/view/1552/1536

",,"English,German,French,Italian",Wikimedia Community
Teacher Training of Teachers in Bolivia,https://openedu.ch/en/28/teacher-training-of-teachers-in-bolivia,Teachers and Wikipedia,,,CC by SA,"32 primary and secondary school teachers were chosen from 5 different regions of Bolivia and were invited to be part of a three-day bootcamp.

",Project,,"1 Literacy,4 Digital","They attended different workshops, about how to use Internet in class. As part of these trainings teachers were helped to edit on Wikipedia and understand the inner workings of the Enciclopedia. It covered four areas: 1. How to use web browsers and find reliable information. 2. Digital content creation. 3. Wikipedia, how to read it and create content. 4. Information literacy (history, values and communities).
Erlan Vega participated as a facilitator. Two foundations paid for the place, the connection costs and traveling costs for all teachers who were accepted. 
",,"English,German,French,Italian",
Open Science Fellows Program,https://openedu.ch/en/30/open-science-fellows-program,Open access to research,,,CC by SA,"The program promotes opening up research and teaching in accordance with the principles of open science, a movement that enables researchers and society as a whole to access scientific research findings. The goal is to support scientists in making their own research more accessible.

",Other,,8 Cultural awareness and expression,"Over a period of eight months the Fellows are individually advised by mentors who already apply Open Science methods in their research.
In addition to theoretical basics on the topics of Open Knowledge and Open Science, the Fellow Program also shows participants how to apply them in practice.
The program is designed to make the subject of Open Science more visible and to promote it in scientific institutions and communities.
Each Fellow receives a grant of € 3000 / € 5000.
",,"English,German,French,Italian",
Immunomedia,https://openedu.ch/en/33/immunomedia,Immunology and Wikipedia,,,CC by SA,"Activity of the interuniversity project Immunomedia, with the realization of articles in Spanish (translation or creation or improvement) related to Human Immunology, Immunopathology and Immunotherapy. It is a group activity within the subject of Human Immunology at the University of Valladolid.",Project,,"1 Literacy,4 Digital","We started the collaboration during the academic year 2017-2018, it is incorporated as an activity of the interuniversity project Immunomedia, the realization of wikis in Spanish (translation or creation or improvement) related to Human Immunology, Immunopathology and Immunotherapy. It is a group activity within the subject of Human Immunology at the University of Valladolid under the supervision of Alfredo Corell. In the courses 2017-18, 2018-19 and 2019-20 more than 20 wikis related to Immunology have been improved and updated and more than 10 original images have been added in wikimedia commons.
The project is organized into different lines of action, which strategically respond to the different challenges that have been addressed since its inception:
- Creation of multimedia learning objects in Immunology.
- Creation of contents in Wikicommons and Wikipedia (Inmunopedia).
- ""Content curation of immunology learning and dissemination material.
- Social networks and teaching/dissemination of Immunology
- Taking defenses to the streets (different activities commemorating the International Day of Immunology).
- Internationalization of the project (English, French, Portuguese)
- Assessment of knowledge/learning through games (gamification)
- Creation of a web content portal ""Immunomedia3"" that gives structure to all the previous elements.
For more information look at the following websites:
https://es.wikipedia.org/wiki/Wikipedia:Proyecto_educativo/Immunomedia
https://www.immunomedia.org/

",,"English,German,French,Italian",
Translation Apprentices and Wikipedia,https://openedu.ch/en/34/translation-apprentices-and-wikipedia,Translation and Wikipedia,,,CC by SA,"In the project ""Translation apprentices with Wikipedia"" students of the subject TI0920 2014-2015 of Translation and Interpreting of the University Jaime I (Castellón, Spain) manage and translate articles from English to Spanish related to cinema. This project is linked to its English Wikipedia counterpart ""Universitat Jaume I - E-translating the Wikipedia"". Coordinator/Professor: María Calzada Pérez. Supported by Wikimedia Spain.",Project,,"1 Literacy,2 Multilingual,4 Digital","As part of the TI0920 Translation and Interpreting course at the Jaime I University (Castellón, Spain), second year students will translate (from English to Spanish) or expand on articles related to cinema. ADELEX ANALYSER (ADA) will be used to evaluate the lexical/terminological difficulty of the texts chosen for translation. Students will collaborate in all stages of the translation. This project is linked to the Universitat Jaume I - E-translating project.
See the following website for more information:
https://es.wikipedia.org/wiki/Wikipedia:Proyecto_educativo/Aprendices_de_traducci%C3%B3n_con_la_Wikipedia",,"English,German,French,Italian,Spanish",
Wiki Education Dashboard: Training,,,https://dashboard.wikiedu.org/training,new suggestion,,,Training,,,,,,
Wiki Education Dashboard: Projects,,,https://dashboard.wikiedu.org/explore,new suggestion,,,Project,,,,,,
WikiEducator,,Turning the digital divide into digital dividends using free content and open networks.,https://wikieducator.org/Main_Page,new suggestion,,"The WikiEducator is an evolving community intended for the collaborative:

authoring and organising courseware for OERu
planning of education projects linked with the development of free content
development of free content on Wikieducator for e-learning
work on building open education resources (OERs) on how to create OERs
networking on funding proposals developed as free content",Platform,,,,,,
WikiEducator News,,,https://wikieducator.org/Old_news,new suggestion,,,News,,,,,,
WikiEducator Projects,,,https://wikieducator.org/Initiatives,new suggestion,,,,,,,,,
